2022-05-03 13:36:41.410 DEBUG [http-nio-8181-exec-11] [org.hibernate.cache.internal.RegionFactoryInitiator.resolveRegionFactory(RegionFactoryInitiator.java:117)] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2022-05-03 13:36:41.413 DEBUG [http-nio-8181-exec-11] [org.hibernate.cache.internal.RegionFactoryInitiator.initiateService(RegionFactoryInitiator.java:49)] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2022-05-03 13:36:41.600 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.descriptor.jdbc.spi.JdbcTypeRegistry.addDescriptor(JdbcTypeRegistry.java:46)] - addDescriptor(FloatTypeDescriptor) replaced previous registration(DoubleTypeDescriptor)
2022-05-03 13:36:41.641 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@721ea675
2022-05-03 13:36:41.645 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@721ea675
2022-05-03 13:36:41.645 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@721ea675
2022-05-03 13:36:41.645 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@72577837
2022-05-03 13:36:41.646 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@72577837
2022-05-03 13:36:41.646 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration true_false -> org.hibernate.type.BasicTypeReference@52a2ac7e
2022-05-03 13:36:41.646 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@52a2ac7e
2022-05-03 13:36:41.646 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@241088a3
2022-05-03 13:36:41.646 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@241088a3
2022-05-03 13:36:41.646 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration byte -> org.hibernate.type.BasicTypeReference@233abf5a
